Pid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 10, 6, -10000, FULL_HOUSE, 6, NORMAL
2222, 39150, 500, 500, 29150, FOUR_OF_A_KIND, 2, NORMAL
3333, 0, 8, 5, -10000, TWO_PAIR, 7, NORMAL
4444, 0, 223, 0, -10000, NULL, 3, NORMAL
5555, 0, 6, 6, -10000, THREE_OF_A_KIND, 8, NORMAL
6666, 0, 42, 42, -10000, FOUR_OF_A_KIND, 5, NORMAL
7777, 40850, 500, 500, 30850, FOUR_OF_A_KIND, 1, NORMAL
8888, 0, 65, 8, -10000, THREE_OF_A_KIND, 4, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 7, 5, -10000, ONE_PAIR, 8, NORMAL
2222, 0, 26, 26, -10000, STRAIGHT, 5, NORMAL
3333, 0, 18, 9, -10000, FULL_HOUSE, 6, NORMAL
4444, 0, 273, 0, -10000, NULL, 4, NORMAL
5555, 6350, 500, 500, -3650, FOUR_OF_A_KIND, 3, NORMAL
6666, 0, 10, 10, -10000, TWO_PAIR, 7, NORMAL
7777, 52150, 500, 500, 42150, STRAIGHT_FLUSH, 1, NORMAL
8888, 21500, 500, 109, 11500, FULL_HOUSE, 2, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 36, 14, -10000, TWO_PAIR, 3, NORMAL
2222, 0, 13, 13, -10000, FULL_HOUSE, 5, NORMAL
3333, 0, 13, 7, -10000, STRAIGHT, 5, NORMAL
4444, 50, 379, 0, -9950, NULL, 2, NORMAL
5555, 0, 6, 6, -10000, TWO_PAIR, 8, NORMAL
6666, 0, 7, 7, -10000, STRAIGHT, 7, NORMAL
7777, 0, 22, 18, -10000, STRAIGHT, 4, NORMAL
8888, 70100, 379, 7, 60100, TWO_PAIR, 1, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 17, 6, -10000, FULL_HOUSE, 6, NORMAL
2222, 0, 7, 7, -10000, TWO_PAIR, 8, NORMAL
3333, 0, 15, 7, -10000, FULL_HOUSE, 7, NORMAL
4444, 0, 338, 0, -10000, NULL, 5, NORMAL
5555, 31060, 500, 500, 21060, FULL_HOUSE, 1, NORMAL
6666, 9507, 500, 500, -493, FOUR_OF_A_KIND, 4, NORMAL
7777, 12033, 500, 500, 2033, FOUR_OF_A_KIND, 3, NORMAL
8888, 27400, 500, 81, 17400, FOUR_OF_A_KIND, 2, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 18, 11, -10000, FULL_HOUSE, 4, NORMAL
2222, 0, 12, 12, -10000, FULL_HOUSE, 6, NORMAL
3333, 0, 14, 8, -10000, FULL_HOUSE, 5, NORMAL
4444, 50, 208, 0, -9950, NULL, 3, NORMAL
5555, 0, 6, 6, -10000, TWO_PAIR, 8, NORMAL
6666, 0, 10, 10, -10000, FULL_HOUSE, 7, NORMAL
7777, 54325, 500, 218, 44325, FOUR_OF_A_KIND, 1, NORMAL
8888, 25625, 500, 204, 15625, FULL_HOUSE, 2, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 12, 10, -10000, FULL_HOUSE, 5, NORMAL
2222, 0, 5, 5, -10000, ONE_PAIR, 8, NORMAL
3333, 0, 13, 10, -10000, STRAIGHT, 4, NORMAL
4444, 0, 206, 0, -10000, NULL, 3, NORMAL
5555, 0, 8, 8, -10000, FLUSH, 6, NORMAL
6666, 0, 7, 7, -10000, TWO_PAIR, 7, NORMAL
7777, 54550, 500, 215, 44550, FOUR_OF_A_KIND, 1, NORMAL
8888, 25450, 500, 206, 15450, FOUR_OF_A_KIND, 2, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 18, 12, -10000, STRAIGHT, 4, NORMAL
2222, 0, 7, 7, -10000, TWO_PAIR, 8, NORMAL
3333, 0, 11, 7, -10000, TWO_PAIR, 6, NORMAL
4444, 0, 211, 0, -10000, NULL, 3, NORMAL
5555, 64100, 500, 212, 54100, FULL_HOUSE, 1, NORMAL
6666, 0, 10, 10, -10000, STRAIGHT, 7, NORMAL
7777, 0, 12, 12, -10000, TWO_PAIR, 5, NORMAL
8888, 15900, 500, 198, 5900, FULL_HOUSE, 2, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 22, 12, -10000, FULL_HOUSE, 4, NORMAL
2222, 0, 5, 5, -10000, ONE_PAIR, 6, NORMAL
3333, 0, 9, 6, -10000, TWO_PAIR, 5, NORMAL
4444, 0, 206, 0, -10000, NULL, 3, NORMAL
5555, 0, 5, 5, -10000, ONE_PAIR, 6, NORMAL
6666, 33175, 500, 219, 23175, FULL_HOUSE, 2, NORMAL
7777, 0, 5, 5, -10000, TWO_PAIR, 6, NORMAL
8888, 46825, 500, 208, 36825, FULL_HOUSE, 1, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 10, 7, -10000, TWO_PAIR, 6, NORMAL
2222, 0, 7, 7, -10000, STRAIGHT, 7, NORMAL
3333, 0, 14, 6, -10000, FULL_HOUSE, 5, NORMAL
4444, 50, 271, 0, -9950, NULL, 4, NORMAL
5555, 60125, 500, 500, 50125, FULL_HOUSE, 1, NORMAL
6666, 6275, 500, 500, -3725, FOUR_OF_A_KIND, 3, NORMAL
7777, 0, 7, 7, -10000, TWO_PAIR, 7, NORMAL
8888, 13550, 500, 96, 3550, FULL_HOUSE, 2, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 7, 5, -10000, TWO_PAIR, 7, NORMAL
2222, 0, 6, 6, -10000, STRAIGHT, 8, NORMAL
3333, 75500, 373, 20, 65500, FULL_HOUSE, 1, NORMAL
4444, 50, 373, 0, -9950, NULL, 2, NORMAL
5555, 0, 13, 13, -10000, TWO_PAIR, 6, NORMAL
6666, 0, 27, 24, -10000, FOUR_OF_A_KIND, 4, NORMAL
7777, 0, 14, 14, -10000, THREE_OF_A_KIND, 5, NORMAL
8888, 0, 45, 9, -10000, THREE_OF_A_KIND, 3, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 6, 5, -10000, THREE_OF_A_KIND, 6, NORMAL
2222, 0, 5, 5, -10000, ONE_PAIR, 7, NORMAL
3333, 0, 80, 21, -10000, FULL_HOUSE, 3, NORMAL
4444, 50, 327, 0, -9950, NULL, 2, NORMAL
5555, 0, 10, 10, -10000, FULL_HOUSE, 5, NORMAL
6666, 0, 5, 5, -10000, TWO_PAIR, 7, NORMAL
7777, 0, 12, 12, -10000, FULL_HOUSE, 4, NORMAL
8888, 72700, 327, 19, 62700, FULL_HOUSE, 1, NORMAL